Ticker,Name,Industry,Dividend Yield,Dividend Safety
MMM,3M,Industrial Conglomerates,5.25%,Safe
WBA,Walgreens Boots Alliance,Drug Retail,5.22%,Safe
LEG,Leggett & Platt,Home Furnishings,5.12%,Safe
IBM,International Business Machines,IT Consulting and Other Services,4.85%,Safe
O,Realty Income,Retail REITs,4.54%,Safe
AMCR,Amcor,Paper Packaging,4.30%,Borderline Safe
TROW,T. Rowe Price,Asset Management and Custody Banks,4.04%,Very Safe
FRT,Federal Realty,Retail REITs,3.92%,Safe
ABBV,AbbVie,Biotechnology,3.88%,Safe
BEN,Franklin Resources,Asset Management and Custody Banks,3.78%,Safe
ESS,Essex Property Trust,Residential REITs,3.68%,Very Safe
KMB,Kimberly-Clark,Household Products,3.67%,Very Safe
SWK,Stanley Black & Decker,Industrial Machinery,3.59%,Safe
ED,Consolidated Edison,Multi-Utilities,3.56%,Very Safe
CVX,Chevron,Integrated Oil and Gas,3.51%,Very Safe
MDT,Medtronic,Health Care Equipment,3.26%,Very Safe
XOM,Exxon Mobil,Integrated Oil and Gas,3.13%,Safe
CLX,Clorox,Household Products,3.09%,Safe
KO,Coca-Cola,Soft Drinks,2.95%,Safe
PEP,PepsiCo,Soft Drinks,2.88%,Very Safe
JNJ,Johnson & Johnson,Pharmaceuticals,2.79%,Very Safe
SJM,J.M. Smucker,Packaged Foods and Meats,2.77%,Very Safe
PG,Procter & Gamble,Household Products,2.62%,Very Safe
CL,Colgate-Palmolive,Household Products,2.57%,Very Safe
ATO,Atmos Energy,Gas Utilities,2.56%,Very Safe
TGT,Target,General Merchandise Stores,2.52%,Very Safe
SYY,Sysco,Food Distributors,2.52%,Safe
CAH,Cardinal Health,Health Care Distributors,2.52%,Safe
APD,Air Products and Chemicals,Industrial Gases,2.49%,Very Safe
HRL,Hormel Foods,Packaged Foods and Meats,2.44%,Very Safe
AFL,Aflac,Life and Health Insurance,2.43%,Very Safe
EMR,Emerson Electric,Electrical Components and Equipment,2.42%,Safe
CINF,Cincinnati Financial,Property and Casualty Insurance,2.39%,Safe
CHRW,C.H. Robinson,Air Freight and Logistics,2.32%,Very Safe
MCD,McDonald's,Restaurants,2.28%,Safe
NEE,NextEra Energy,Electric Utilities,2.24%,Very Safe
ADP,Automatic Data Processing,Data Processing and Outsourced Services,2.23%,Very Safe
ITW,Illinois Tool Works,Industrial Machinery,2.20%,Very Safe
ADM,Archer-Daniels-Midland,Agricultural Products,2.20%,Very Safe
GD,General Dynamics,Aerospace and Defense,2.17%,Very Safe
MKC,McCormick & Company,Packaged Foods and Meats,2.08%,Safe
GPC,Genuine Parts Company,Distributors,2.03%,Safe
LOW,Lowe's,Home Improvement Retail,1.96%,Very Safe
CAT,Caterpillar,Construction Machinery and Heavy Trucks,1.96%,Very Safe
PPG,PPG Industries,Specialty Chemicals,1.91%,Very Safe
ABT,Abbott Laboratories,Health Care Equipment,1.90%,Safe
AOS,A. O. Smith,Building Products,1.78%,Very Safe
PNR,Pentair plc,Industrial Machinery,1.56%,Very Safe
CB,Chubb,Property and Casualty Insurance,1.56%,Very Safe
WMT,Walmart,Hypermarkets and Super Centers,1.54%,Very Safe
BDX,"Becton, Dickinson and Company",Health Care Equipment,1.50%,Very Safe
LIN,Linde,Industrial Gases,1.40%,Very Safe
ECL,Ecolab,Specialty Chemicals,1.34%,Very Safe
CHD,Church & Dwight,Household Products,1.32%,Very Safe
DOV,Dover,Industrial Machinery,1.30%,Very Safe
BF.B,Brown-Forman Corporation,Distillers and Vintners,1.26%,Very Safe
NUE,Nucor,Steel,1.19%,Very Safe
EXPD,Expeditors International of Washington,Air Freight and Logistics,1.18%,Very Safe
NDSN,Nordson Corporation,Industrial Machinery,1.07%,Very Safe
CTAS,Cintas,Diversified Support Services,1.04%,Very Safe
SHW,Sherwin-Williams,Specialty Chemicals,1.03%,Very Safe
GWW,W.W. Grainger,Trading Companies and Distributors,1.03%,Very Safe
SPGI,S&P Global,Financial Exchanges and Data,0.99%,Very Safe
BRO,Brown & Brown,Insurance Brokers,0.80%,Very Safe
ROP,Roper Technologies,Application Software,0.64%,Very Safe
ALB,Albemarle,Specialty Chemicals,0.58%,Very Safe
WST,West Pharmaceutical Services,Life Sciences Tools and Services,0.28%,Very Safe
